name,price,discount,rating,sold,image,url
New Men's Business Luxury Watch Stainless Clock Steel Analog Quartz watch,270.0,46.0,0.0,19,,https://www.daraz.com.bd/products/-i389448235.html
Paidu Wrist Watch for men,165.0,63.0,0.0,293,,https://www.daraz.com.bd/products/paidu-wrist-watch-for-men-i228882226.html
Rosra Steeliness Steel Watch For Men\'s black matte,380.0,55.0,0.0,9,,https://www.daraz.com.bd/products/rosra-steeliness-steel-watch-for-mens-black-matte-i394473511.html
OLI-VS 9931 Trendy Korean Style Luminous Calendar With Individual Gift Box Couple Watch,1140.0,55.0,0.0,45,,https://www.daraz.com.bd/products/oli-vs-9931-trendy-korean-style-luminous-calendar-with-individual-gift-box-couple-watch-i350743941.html
TRSOYE new luxury fashion leather belt wrist-watche for men,434.0,70.0,0.0,5,,https://www.daraz.com.bd/products/trsoye-new-luxury-fashion-leather-belt-wrist-watche-for-men-i389164994.html
New Men's Business Luxury Watch Stainless Clock Steel Analog Quartz watch,279.0,44.0,0.0,8,,https://www.daraz.com.bd/products/-i389363658.html
premium quality Boy's Digital Waterproof Sport Fashion Luxury Military Quartz Watch Alarm Day Time LED Wristwatches With BOX,299.0,65.0,0.0,0,,https://www.daraz.com.bd/products/led-i264724716.html
New Men's Business Luxury Watch Stainless Clock Steel Analog Quartz watch,279.0,44.0,0.0,6,,https://www.daraz.com.bd/products/-i389363556.html
Apple Replica LED Digital Analog Silicon Belt Sports Watch for Men,295.0,55.0,0.0,0,,https://www.daraz.com.bd/products/apple-replica-led-digital-analog-silicon-belt-sports-watch-for-men-i394418096.html
POEDAGAR Top Brand Luxury Men Watch Waterproof Luminous Stainless Steel Watches Sport Quartz Clock Mens Date Business Wristwatch,1143.0,71.0,0.0,91,,https://www.daraz.com.bd/products/poedagar-i402120421.html
New Men's Business Luxury Watch Stainless Clock Steel Analog Quartz watch,270.0,46.0,0.0,5,,https://www.daraz.com.bd/products/-i389362443.html
SKMEI 9268 Luxurious Fashionable Top Brand Waterproof Stainless Steel Quartz Wristwatch For Men,665.0,62.0,0.0,7,,https://www.daraz.com.bd/products/skmei-9268-luxurious-fashionable-top-brand-waterproof-stainless-steel-quartz-wristwatch-for-men-i389170934.html
Men's Nylon Luminous Quartz Wristwatches- Luxury Watch- Men Designer Brand Famous Business Watch,199.0,43.0,0.0,47,,https://www.daraz.com.bd/products/-i342213036.html
OLEVS 9931 New Business Quartz Watch for Men Dual Calendar Luxury Diamond,685.0,63.0,0.0,6,,https://www.daraz.com.bd/products/olevs-9931-new-business-quartz-watch-for-men-dual-calendar-luxury-diamond-i389346549.html
