title,price,offer_percentage,sold,link
Olevs Luxury Fashion Stainless Steel Unique Design Diamond Cutting Glass Wrist-Watche For Men,৳ 599,56% Off,1.0K sold,https://www.daraz.com.bd/products/olevs-luxury-fashion-stainless-steel-unique-design-diamond-cutting-glass-wrist-watche-for-men-i328851942.html
Luxury 9931 Trendy Korean Style Luminous Calendar With Individual Gift Box Couple Watch,"৳ 1,140",55% Off,78 sold,https://www.daraz.com.bd/products/luxury-9931-trendy-korean-style-luminous-calendar-with-individual-gift-box-couple-watch-i350758296.html
Digital Watch Fashion Watch for Mens Sports Waterproof Simple Silicone Electronic Watch - Men Seeking Fashion and Style,৳ 94,73% Off,1.2K sold,https://www.daraz.com.bd/products/digital-watch-fashion-watch-for-mens-sports-waterproof-simple-silicone-electronic-watch-men-seeking-fashion-and-style-i288560053.html
TRSOYE luxury leather belt fashion quartz wrist-watche for men,৳ 299,78% Off,132 sold,https://www.daraz.com.bd/products/trsoye-luxury-leather-belt-fashion-quartz-wrist-watche-for-men-i362635717.html
Stylish OLIVS Stainless Steel Lather Band Fashionable Man Watch,৳ 387,48% Off,66 sold,https://www.daraz.com.bd/products/olivs-i318941048.html
FORSINING 8202 luxury Automatic Mechanical Watch,"৳ 3,598",47% Off,224 sold,https://www.daraz.com.bd/products/forsining-8202-i264523031.html
SKMEI 1505 Men Digital Sport Watches Rectangle Gold Wristwatch for Male LED Stopwatch Touch Watch For men,৳ 399,80% Off,28 sold,https://www.daraz.com.bd/products/skmei-1505-led-i322911535.html
Leather Analog Wrist Watch For Men - Black And white,৳ 158,67% Off,68 sold,https://www.daraz.com.bd/products/-i101844633.html
New Fashionable stainless analogue Hand watches for men's - Watch,৳ 129,72% Off,107 sold,https://www.daraz.com.bd/products/new-fashionable-stainless-analogue-hand-watches-for-mens-watch-i266494990.html
Digital Watch Waterproof Watch for Men's Sports Waterproof Simple Silicone Watch for men,৳ 195,68% Off,25 sold,https://www.daraz.com.bd/products/-i392038705.html
Current 8 Man leather analog watch for men,৳ 140,72% Off,50 sold,https://www.daraz.com.bd/products/8-i337003664.html
